,air_pressure(mBar),date,coordinates,air_temperature,mass_concentration_of_chlorophyll_in_sea_water,relative_humidity,mass_concentration_of_oxygen_in_sea_wate,sea_water_practical_salinity,USA_SSHS,xco2,Methane_ppbv,tropical_storm_occurence
16603,1021.6,20181018,30.0-95.0,23.1,,,,9.49,,,,0.0
16604,1022.5,20181018,30.0-94.0,22.2,,,,24.9367,,,,0.0
16605,1023.705697,20181018,30.0-88.0,24.86,,87.7,6.75,24.48,,,,0.0
16606,1022.1,20181018,29.0-90.0,24.8,12.56,70.1,7.2,16.98,,,,0.0
16607,,20181018,29.0-92.0,25.8,,,,,,,,0.0
16608,,20181018,28.0-96.0,,,,,31.0707,,,,0.0
16609,1016.26,20181019,27.0-96.0,26.7,,85.0,,36.47,,,1878.2771164021165,0.0
16610,1017.04,20181019,28.0-94.0,27.4,,71.4,,35.64,,,1878.2771164021165,0.0
16611,1016.3,20181019,28.0-95.0,26.8,,,,,,,1878.2771164021165,0.0
16612,1017.9,20181019,29.0-94.0,27.3,,,,33.8312,,,1878.2771164021165,0.0
16613,1019.8,20181019,30.0-87.0,26.5,,,,,,,1878.2771164021165,0.0
16614,1019.2,20181019,30.0-89.0,25.8,,,,,,,1878.2771164021165,0.0
16615,1019.5,20181019,29.0-89.0,28.3,,,,,,,1878.2771164021165,0.0
16616,1019.1,20181019,29.0-90.0,27.3,13.23,77.7,7.59,17.47,,,1878.2771164021165,0.0
16617,1018.8,20181019,30.0-90.0,26.4,,,,,,,1878.2771164021165,0.0
16618,1018.9,20181019,30.0-91.0,26.3,,,,,,,1878.2771164021165,0.0
16619,1018.2,20181019,29.0-91.0,26.7,,,,1.38,,,1878.2771164021165,0.0
16620,1018.3,20181019,30.0-92.0,25.9,,,,,,,1878.2771164021165,0.0
16621,1017.1,20181019,30.0-93.0,24.9,,,,,,,1878.2771164021165,0.0
16622,1016.5,20181019,29.0-96.0,22.8,,,,,,,1878.2771164021165,0.0
16623,1016.9,20181019,29.0-97.0,22.7,,,,,,,1878.2771164021165,0.0
16624,1016.7,20181019,29.0-95.0,26.1,,87.6,,32.33,,,1878.2771164021165,0.0
16625,1017.2,20181019,28.0-97.0,24.1,,,8.51,13.6,,,1878.2771164021165,0.0
16626,1017.8,20181019,30.0-95.0,24.7,,,,10.47,,,1878.2771164021165,0.0
16627,1018.4,20181019,30.0-94.0,24.5,,,,24.5768,,,1878.2771164021165,0.0
16628,1019.642029,20181019,30.0-88.0,26.09,,100.0,6.44,25.92,,,1878.2771164021165,0.0
16629,,20181019,29.0-92.0,26.2,,,,,,,1878.2771164021165,0.0
16630,,20181019,28.0-96.0,,,,,30.0513,,,1878.2771164021165,0.0
16631,1015.69,20181020,27.0-96.0,24.7,,88.8,,36.48,,,1879.439484126984,0.0
16632,1016.6,20181020,28.0-94.0,22.5,,88.2,,35.48,,,1879.439484126984,0.0
16633,1016.8,20181020,28.0-95.0,25.6,,,,,,,1879.439484126984,0.0
16634,1018.8,20181020,29.0-94.0,22.5,,,,33.4367,,,1879.439484126984,0.0
16635,1017.1,20181020,30.0-87.0,23.7,,,,,,,1879.439484126984,0.0
16636,1017.4,20181020,30.0-89.0,25.3,,,,,,,1879.439484126984,0.0
16637,1017.0,20181020,29.0-89.0,26.8,,,,,,,1879.439484126984,0.0
16638,1017.6,20181020,29.0-90.0,24.8,12.73,84.1,7.12,19.12,,,1879.439484126984,0.0
16639,1017.9,20181020,30.0-90.0,23.6,,,,,,,1879.439484126984,0.0
16640,1017.9,20181020,30.0-91.0,23.6,,,,,,,1879.439484126984,0.0
16641,1017.1,20181020,29.0-91.0,24.7,,,,1.34,,,1879.439484126984,0.0
16642,1017.7,20181020,30.0-92.0,23.9,,,,,,,1879.439484126984,0.0
16643,1017.8,20181020,30.0-93.0,21.1,,,,,,,1879.439484126984,0.0
16644,1018.2,20181020,29.0-96.0,21.0,,,,,,,1879.439484126984,0.0
16645,1019.1,20181020,29.0-97.0,20.5,,,,,,,1879.439484126984,0.0
16646,1018.5,20181020,29.0-95.0,21.4,,90.0,,32.16,,,1879.439484126984,0.0
16647,1019.1,20181020,28.0-97.0,21.1,,,8.72,9.0,,,1879.439484126984,0.0
16648,1019.1,20181020,30.0-95.0,21.3,,,,8.05,,,1879.439484126984,0.0
16649,1019.6,20181020,30.0-94.0,21.0,,,,23.4353,,,1879.439484126984,0.0
16650,1017.948834,20181020,30.0-88.0,24.96,,84.8,6.44,27.12,,,1879.439484126984,0.0
16651,,20181020,29.0-92.0,24.9,,,,,,,1879.439484126984,0.0
16652,,20181020,28.0-96.0,,,,,32.7956,,,1879.439484126984,0.0
16653,1017.25,20181021,27.0-96.0,24.8,,74.9,,36.47,,,1881.76421957672,0.0
16654,1018.23,20181021,28.0-94.0,22.9,,72.5,,35.68,,,1881.76421957672,0.0
16655,1018.8,20181021,28.0-95.0,23.9,,,,,,,1881.76421957672,0.0
16656,1021.3,20181021,29.0-94.0,21.6,,,,35.1515,,,1881.76421957672,0.0
16657,1021.2,20181021,30.0-87.0,18.4,,,,,,,1881.76421957672,0.0
16658,1021.5,20181021,30.0-89.0,19.0,,,,,,,1881.76421957672,0.0
16659,1020.8,20181021,29.0-89.0,21.2,,,,,,,1881.76421957672,0.0
16660,1020.8,20181021,29.0-90.0,20.3,6.56,52.1,6.26,22.68,,,1881.76421957672,0.0
16661,1021.2,20181021,30.0-90.0,18.3,,,,,,,1881.76421957672,0.0
16662,1020.9,20181021,30.0-91.0,19.2,,,,,,,1881.76421957672,0.0
16663,1020.4,20181021,29.0-91.0,19.7,,,,0.4,,,1881.76421957672,0.0
16664,1020.7,20181021,30.0-92.0,19.7,,,,,,,1881.76421957672,0.0
16665,1020.2,20181021,30.0-93.0,19.0,,,,,,,1881.76421957672,0.0
16666,1020.2,20181021,29.0-96.0,20.5,,,,,,,1881.76421957672,0.0
16667,1020.6,20181021,29.0-97.0,20.8,,,,,,,1881.76421957672,0.0
16668,1020.6,20181021,29.0-95.0,20.9,,55.7,,32.39,,,1881.76421957672,0.0
16669,1020.7,20181021,28.0-97.0,20.2,,,8.55,27.4702,,,1881.76421957672,0.0
16670,1021.3,20181021,30.0-95.0,19.5,,,,8.42,,,1881.76421957672,0.0
16671,1021.6,20181021,30.0-94.0,18.4,,,,23.1807,,,1881.76421957672,0.0
16672,1021.335224,20181021,30.0-88.0,18.64,,78.15,7.32,25.63,,,1881.76421957672,0.0
16673,,20181021,29.0-92.0,21.1,,,,,,,1881.76421957672,0.0
16674,,20181021,28.0-96.0,,,,,33.6309,,,1881.76421957672,0.0
16675,1014.49,20181022,27.0-96.0,24.5,,91.0,,36.46,,,,0.0
16676,1016.38,20181022,28.0-94.0,23.4,,86.8,,35.8,,,,0.0
16677,1015.7,20181022,28.0-95.0,23.8,,,,,,,,0.0
16678,1019.2,20181022,29.0-94.0,21.3,,,,35.1009,,,,0.0
16679,1020.6,20181022,30.0-87.0,21.9,,,,,,,,0.0
16680,1019.8,20181022,30.0-89.0,21.9,,,,,,,,0.0
16681,1018.6,20181022,29.0-89.0,25.6,,,,,,,,0.0
16682,1019.2,20181022,29.0-90.0,23.4,10.34,84.4,7.23,20.77,,,,0.0
16683,1019.7,20181022,30.0-90.0,21.6,,,,,,,,0.0
16684,1019.5,20181022,30.0-91.0,20.5,,,,,,,,0.0
16685,1018.6,20181022,29.0-91.0,20.9,,,,1.68,,,,0.0
16686,1019.0,20181022,30.0-92.0,20.3,,,,,,,,0.0
16687,1018.3,20181022,30.0-93.0,18.3,,,,,,,,0.0
16688,1018.4,20181022,29.0-96.0,17.3,,,,,,,,0.0
16689,1019.3,20181022,29.0-97.0,18.2,,,,,,,,0.0
16690,1018.3,20181022,29.0-95.0,19.3,,63.9,,31.87,,,,0.0
16691,1019.0,20181022,28.0-97.0,16.1,,,8.88,8.8,,,,0.0
16692,1019.3,20181022,30.0-95.0,18.4,,,,8.93,,,,0.0
16693,1019.8,20181022,30.0-94.0,17.7,,,,23.7865,,,,0.0
16694,1019.980668,20181022,30.0-88.0,21.87,,114.5,7.02,30.02,,,,0.0
16695,,20181022,29.0-92.0,20.8,,,,,,,,0.0
16696,,20181022,28.0-96.0,,,,,33.2136,,,,0.0
16697,1014.93,20181023,27.0-96.0,25.5,,82.8,,36.45,,,1882.3454034391532,0.0
16698,1014.44,20181023,28.0-94.0,23.3,,88.6,,35.59,,,1882.3454034391532,0.0
16699,1015.0,20181023,28.0-95.0,25.2,,,,,,,1882.3454034391532,0.0
16700,1018.0,20181023,29.0-94.0,19.9,,,,35.4558,,,1882.3454034391532,0.0
16701,1019.3,20181023,30.0-87.0,20.2,,,,,,,1882.3454034391532,0.0
16702,1019.6,20181023,30.0-89.0,19.2,,,,,,,1882.3454034391532,0.0
16703,1018.4,20181023,29.0-89.0,25.0,,,,,,,1882.3454034391532,0.0
16704,1018.4,20181023,29.0-90.0,22.8,10.38,90.3,6.55,21.2,,,1882.3454034391532,0.0
16705,1018.9,20181023,30.0-90.0,19.8,,,,,,,1882.3454034391532,0.0
16706,1018.3,20181023,30.0-91.0,20.0,,,,,,,1882.3454034391532,0.0
16707,1017.0,20181023,29.0-91.0,20.6,,,,0.7,,,1882.3454034391532,0.0
16708,1017.4,20181023,30.0-92.0,18.0,,,,,,,1882.3454034391532,0.0
16709,1017.8,20181023,30.0-93.0,16.9,,,,,,,1882.3454034391532,0.0
16710,1017.1,20181023,29.0-96.0,16.7,,,,,,,1882.3454034391532,0.0
16711,1018.0,20181023,29.0-97.0,17.2,,,,,,,1882.3454034391532,0.0
16712,1017.4,20181023,29.0-95.0,16.5,,87.8,,30.94,,,1882.3454034391532,0.0
16713,1017.9,20181023,28.0-97.0,16.9,,,8.68,8.6,,,1882.3454034391532,0.0
16714,1018.5,20181023,30.0-95.0,16.8,,,,10.07,,,1882.3454034391532,0.0
16715,1019.4,20181023,30.0-94.0,16.3,,,,23.7032,,,1882.3454034391532,0.0
16716,1019.980668,20181023,30.0-88.0,20.94,,118.3,6.12,32.48,,,1882.3454034391532,0.0
16717,,20181023,29.0-92.0,20.2,,,,,,,1882.3454034391532,0.0
16718,,20181023,28.0-96.0,,,,,33.2271,,,1882.3454034391532,0.0
16719,1010.8,20181024,28.0-95.0,27.2,,,,,,,1881.76421957672,0.0
16720,1012.4,20181024,29.0-94.0,24.7,,,,35.5675,,,1881.76421957672,0.0
16721,1017.0,20181024,30.0-87.0,24.1,,,,,,,1881.76421957672,0.0
16722,1016.8,20181024,30.0-89.0,22.1,,,,,,,1881.76421957672,0.0
16723,1014.9,20181024,30.0-91.0,22.3,,,,,,,1881.76421957672,0.0
16724,1014.1,20181024,29.0-91.0,22.6,,,,1.06,,,1881.76421957672,0.0
16725,1014.4,20181024,30.0-92.0,20.5,,,,,,,1881.76421957672,0.0
16726,1009.9,20181024,29.0-96.0,23.6,,,,,,,1881.76421957672,0.0
16727,1015.6,20181024,29.0-89.0,26.8,,,,,,,1881.76421957672,0.0
16728,1016.0,20181024,30.0-90.0,21.6,,,,,,,1881.76421957672,0.0
16729,1014.6,20181024,30.0-93.0,20.5,,,,,,,1881.76421957672,0.0
16730,1011.1,20181024,29.0-97.0,20.0,,,,,,,1881.76421957672,0.0
16731,1016.9,20181024,30.0-88.0,23.5,,97.3,6.67,33.0,,,1881.76421957672,0.0
16732,1011.82,20181024,27.0-96.0,25.1,,85.7,,36.45,,,1881.76421957672,0.0
16733,1012.47,20181024,28.0-94.0,26.1,,80.2,,35.67,,,1881.76421957672,0.0
16734,1010.4,20181024,29.0-95.0,24.2,,91.8,,31.76,,,1881.76421957672,0.0
16735,1011.7,20181024,28.0-97.0,21.2,,,7.44,17.0,,,1881.76421957672,0.0
16736,1012.7,20181024,30.0-95.0,20.2,,,,10.34,,,1881.76421957672,0.0
16737,1014.2,20181024,30.0-94.0,19.3,,,,23.6109,,,1881.76421957672,0.0
16738,1015.1,20181024,29.0-90.0,24.3,6.56,78.5,7.02,23.81,,,1881.76421957672,0.0
16739,,20181024,29.0-92.0,22.5,,,,,,,1881.76421957672,0.0
16740,,20181024,28.0-96.0,,,,,32.8763,,,1881.76421957672,0.0
16741,1011.85,20181025,27.0-96.0,21.8,,78.3,,36.45,,,1879.294188161376,0.0
16742,1010.45,20181025,28.0-94.0,22.1,,71.9,,35.59,,,1879.294188161376,0.0
16743,1011.0,20181025,28.0-95.0,21.3,,,,,,,1879.294188161376,0.0
16744,1011.5,20181025,29.0-94.0,19.7,,,,35.3815,,,1879.294188161376,0.0
16745,1009.6,20181025,30.0-87.0,21.8,,,,,,,1879.294188161376,0.0
16746,1007.5,20181025,30.0-89.0,22.0,,,,,,,1879.294188161376,0.0
16747,1008.2,20181025,29.0-89.0,23.1,,,,,,,1879.294188161376,0.0
16748,1007.8,20181025,29.0-90.0,24.9,3.41,85.9,6.49,25.35,,,1879.294188161376,0.0
16749,1007.6,20181025,30.0-90.0,23.9,,,,,,,1879.294188161376,0.0
16750,1008.6,20181025,30.0-91.0,21.0,,,,,,,1879.294188161376,0.0
16751,1008.4,20181025,29.0-91.0,21.1,,,,1.81,,,1879.294188161376,0.0
16752,1009.3,20181025,30.0-92.0,20.1,,,,,,,1879.294188161376,0.0
16753,1009.2,20181025,30.0-93.0,18.9,,,,,,,1879.294188161376,0.0
16754,1011.2,20181025,29.0-96.0,18.6,,,,,,,1879.294188161376,0.0
16755,1012.1,20181025,29.0-97.0,18.4,,,,,,,1879.294188161376,0.0
16756,1011.3,20181025,29.0-95.0,18.9,,72.7,,26.37,,,1879.294188161376,0.0
16757,1012.5,20181025,28.0-97.0,17.9,,,9.03,13.8,,,1879.294188161376,0.0
16758,1011.3,20181025,30.0-95.0,18.5,,,,7.2,,,1879.294188161376,0.0
16759,1011.1,20181025,30.0-94.0,17.5,,,,23.0646,,,1879.294188161376,0.0
16760,1007.789664,20181025,30.0-88.0,23.06,,100.0,6.48,31.77,,,1879.294188161376,0.0
16761,,20181025,29.0-92.0,20.5,,,,,,,1879.294188161376,0.0
16762,,20181025,28.0-96.0,,,,,31.8272,,,1879.294188161376,0.0
16763,1014.5,20181026,27.0-96.0,23.1,,69.1,,36.46,,,1882.6359953703704,0.0
16764,1013.01,20181026,28.0-94.0,21.5,,66.1,,35.69,,,1882.6359953703704,0.0
16765,1013.8,20181026,28.0-95.0,22.5,,,,,,,1882.6359953703704,0.0
16766,1014.1,20181026,29.0-94.0,21.3,,,,35.4003,,,1882.6359953703704,0.0
16767,1010.3,20181026,30.0-87.0,17.6,,,,,,,1882.6359953703704,0.0
16768,1011.4,20181026,30.0-89.0,17.3,,,,,,,1882.6359953703704,0.0
16769,1011.9,20181026,29.0-89.0,20.7,,,,,,,1882.6359953703704,0.0
16770,1011.3,20181026,29.0-90.0,20.8,4.59,57.3,6.67,25.54,,,1882.6359953703704,0.0
16771,1011.8,20181026,30.0-90.0,17.9,,,,,,,1882.6359953703704,0.0
16772,1012.2,20181026,30.0-91.0,17.4,,,,,,,1882.6359953703704,0.0
16773,1011.7,20181026,29.0-91.0,20.3,,,,0.3,,,1882.6359953703704,0.0
16774,1012.7,20181026,30.0-92.0,18.5,,,,,,,1882.6359953703704,0.0
16775,1011.9,20181026,30.0-93.0,19.7,,,,,,,1882.6359953703704,0.0
16776,1013.7,20181026,29.0-96.0,21.8,,,,,,,1882.6359953703704,0.0
16777,1014.1,20181026,29.0-97.0,22.0,,,,,,,1882.6359953703704,0.0
16778,1013.5,20181026,29.0-95.0,22.1,,76.6,,26.81,,,1882.6359953703704,0.0
16779,1014.5,20181026,28.0-97.0,23.3,,,9.0,27.8798,,,1882.6359953703704,0.0
16780,1013.6,20181026,30.0-95.0,21.0,,,,7.15,,,1882.6359953703704,0.0
16781,1013.6,20181026,30.0-94.0,20.0,,,,22.7387,,,1882.6359953703704,0.0
16782,1011.176054,20181026,30.0-88.0,18.84,,118.7,6.51,31.57,,,1882.6359953703704,0.0
16783,,20181026,29.0-92.0,20.6,,,,,,,1882.6359953703704,0.0
16784,,20181026,28.0-96.0,,,,,31.4107,,,1882.6359953703704,0.0
16785,1018.6,20181027,27.0-96.0,24.4,,68.9,,36.46,,,1882.0548115079364,0.0
16786,1018.64,20181027,28.0-94.0,22.8,,59.0,,35.82,,,1882.0548115079364,0.0
16787,1017.9,20181027,28.0-95.0,23.9,,,,,,,1882.0548115079364,0.0
16788,1018.2,20181027,29.0-94.0,23.6,,,,35.3731,,,1882.0548115079364,0.0
16789,1017.5,20181027,30.0-87.0,18.7,,,,,,,1882.0548115079364,0.0
16790,1017.5,20181027,30.0-89.0,18.8,,,,,,,1882.0548115079364,0.0
16791,1019.3,20181027,29.0-89.0,20.4,,,,,,,1882.0548115079364,0.0
16792,1018.5,20181027,29.0-90.0,20.7,5.2,69.3,5.97,25.19,,,1882.0548115079364,0.0
16793,1018.0,20181027,30.0-90.0,20.4,,,,,,,1882.0548115079364,0.0
16794,1018.2,20181027,30.0-91.0,18.8,,,,,,,1882.0548115079364,0.0
16795,1018.0,20181027,29.0-91.0,20.4,,,,0.24,,,1882.0548115079364,0.0
16796,1018.1,20181027,30.0-92.0,19.9,,,,,,,1882.0548115079364,0.0
16797,1016.5,20181027,30.0-93.0,22.0,,,,,,,1882.0548115079364,0.0
16798,1017.3,20181027,29.0-96.0,22.2,,,,,,,1882.0548115079364,0.0
16799,1017.5,20181027,29.0-97.0,23.3,,,,,,,1882.0548115079364,0.0
16800,1017.4,20181027,29.0-95.0,22.3,,66.4,,25.57,,,1882.0548115079364,0.0
16801,1017.8,20181027,28.0-97.0,22.7,,,10.65,16.2,,,1882.0548115079364,0.0
16802,1017.9,20181027,30.0-95.0,21.5,,,,7.73,,,1882.0548115079364,0.0
16803,1017.7,20181027,30.0-94.0,20.6,,,,21.9666,,,1882.0548115079364,0.0
16804,1017.948834,20181027,30.0-88.0,20.84,,124.8,6.86,31.68,,,1882.0548115079364,0.0
16805,,20181027,29.0-92.0,21.8,,,,,,407.718627929688,1882.0548115079364,0.0
16806,,20181027,29.0-92.0,21.8,,,,,,406.978332519531,1882.0548115079364,0.0
16807,,20181027,29.0-92.0,21.8,,,,,,407.496520996094,1882.0548115079364,0.0
16808,,20181027,29.0-92.0,21.8,,,,,,407.165496826172,1882.0548115079364,0.0
16809,,20181027,29.0-92.0,21.8,,,,,,404.685394287109,1882.0548115079364,0.0
16810,,20181027,28.0-96.0,,,,,31.2202,,,1882.0548115079364,0.0
16811,1019.99,20181028,27.0-96.0,26.3,,64.5,,36.46,,,,0.0
16812,1020.75,20181028,28.0-94.0,24.7,,62.8,,35.77,,,,0.0
16813,1019.9,20181028,28.0-95.0,26.1,,,,,,,,0.0
16814,1020.2,20181028,29.0-94.0,23.7,,,,35.3216,,,,0.0
16815,1019.6,20181028,30.0-87.0,21.8,,,,,,,,0.0
16816,1019.3,20181028,30.0-89.0,23.0,,,,,,,,0.0
16817,1020.4,20181028,29.0-89.0,21.1,,,,,,,,0.0
16818,1020.3,20181028,29.0-90.0,22.9,5.91,77.4,5.5,26.22,,,,0.0
16819,1019.9,20181028,30.0-90.0,23.0,,,,,,,,0.0
16820,1020.2,20181028,30.0-91.0,22.4,,,,,,,,0.0
16821,1019.8,20181028,29.0-91.0,22.5,,,,0.22,,,,0.0
16822,1020.1,20181028,30.0-92.0,22.8,,,,,,,,0.0
16823,1018.6,20181028,30.0-93.0,23.6,,,,,,,,0.0
16824,1019.6,20181028,29.0-96.0,24.3,,,,,,,,0.0
16825,1019.5,20181028,29.0-97.0,24.3,,,,,,,,0.0
16826,1019.6,20181028,29.0-95.0,23.7,,83.1,,24.28,,,,0.0
16827,1019.8,20181028,28.0-97.0,23.9,,,12.59,27.9275,,,,0.0
16828,1019.7,20181028,30.0-95.0,23.4,,,,7.02,,,,0.0
16829,1019.8,20181028,30.0-94.0,22.9,,,,22.5826,,,,0.0
16830,1019.980668,20181028,30.0-88.0,22.86,,100.0,6.49,32.41,,,,0.0
16831,,20181028,29.0-92.0,24.0,,,,,,,,0.0
16832,,20181028,28.0-96.0,,,,,30.6599,,,,0.0
16833,1017.73,20181029,27.0-96.0,26.6,,63.1,,36.43,,,1882.9265873015872,0.0
16834,1019.21,20181029,28.0-94.0,24.8,,53.4,,35.75,,,1882.9265873015872,0.0
16835,1017.7,20181029,28.0-95.0,26.4,,,,,,,1882.9265873015872,0.0
16836,1018.8,20181029,29.0-94.0,24.4,,,,35.4163,,,1882.9265873015872,0.0
16837,1019.0,20181029,30.0-87.0,23.8,,,,,,,1882.9265873015872,0.0
16838,1018.9,20181029,30.0-89.0,23.5,,,,,,,1882.9265873015872,0.0
16839,1019.5,20181029,29.0-89.0,21.6,,,,,,,1882.9265873015872,0.0
16840,1019.6,20181029,29.0-90.0,24.0,9.62,83.3,5.51,24.12,,,1882.9265873015872,0.0
16841,1019.2,20181029,30.0-90.0,24.4,,,,,,,1882.9265873015872,0.0
16842,1019.3,20181029,30.0-91.0,22.5,,,,,,,1882.9265873015872,0.0
16843,1018.8,20181029,29.0-91.0,22.6,,,,0.21,,,1882.9265873015872,0.0
16844,1018.9,20181029,30.0-92.0,23.1,,,,,,,1882.9265873015872,0.0
16845,1017.5,20181029,30.0-93.0,23.8,,,,,,,1882.9265873015872,0.0
16846,1017.1,20181029,29.0-96.0,24.9,,,,,,,1882.9265873015872,0.0
16847,1017.0,20181029,29.0-97.0,24.4,,,,,,,1882.9265873015872,0.0
16848,1017.4,20181029,29.0-95.0,24.5,,78.4,,25.33,,,1882.9265873015872,0.0
16849,1017.2,20181029,28.0-97.0,24.8,,,,27.8403,,,1882.9265873015872,0.0
16850,1018.2,20181029,30.0-95.0,23.6,,,,6.31,,,1882.9265873015872,0.0
16851,1018.6,20181029,30.0-94.0,22.4,,,,22.3771,,,1882.9265873015872,0.0
16852,1019.642029,20181029,30.0-88.0,22.86,,100.0,6.63,31.15,,,1882.9265873015872,0.0
16853,,20181029,29.0-92.0,23.9,,,,,,403.360992431641,1882.9265873015872,0.0
16854,,20181029,29.0-92.0,23.9,,,,,,408.059478759766,1882.9265873015872,0.0
16855,,20181029,28.0-96.0,,,,,26.2965,,,1882.9265873015872,0.0
16856,1013.43,20181030,27.0-96.0,27.3,,72.5,,36.41,,,1882.3454034391532,0.0
16857,1015.77,20181030,28.0-94.0,26.0,,65.1,,35.78,,,1882.3454034391532,0.0
16858,1014.0,20181030,28.0-95.0,26.9,,,,,,,1882.3454034391532,0.0
16859,1015.3,20181030,29.0-94.0,25.1,,,,35.4615,,,1882.3454034391532,0.0
16860,1019.6,20181030,30.0-87.0,23.8,,,,,,,1882.3454034391532,0.0
16861,1018.4,20181030,30.0-89.0,23.4,,,,,,,1882.3454034391532,0.0
16862,1018.7,20181030,29.0-89.0,23.5,,,,,,,1882.3454034391532,0.0
16863,1018.5,20181030,29.0-90.0,24.2,9.74,78.9,5.57,24.89,,,1882.3454034391532,0.0
16864,1018.1,20181030,30.0-90.0,22.4,,,,,,,1882.3454034391532,0.0
16865,1017.9,20181030,30.0-91.0,22.4,,,,,,,1882.3454034391532,0.0
16866,1017.0,20181030,29.0-91.0,22.8,,,,0.21,,,1882.3454034391532,0.0
16867,1016.8,20181030,30.0-92.0,23.3,,,,,,,1882.3454034391532,0.0
16868,1014.7,20181030,30.0-93.0,24.4,,,,,,,1882.3454034391532,0.0
16869,1013.2,20181030,29.0-96.0,25.5,,,,,,,1882.3454034391532,0.0
16870,1013.2,20181030,29.0-97.0,25.0,,,,,,,1882.3454034391532,0.0
16871,1013.9,20181030,29.0-95.0,25.1,,80.8,,25.95,,,1882.3454034391532,0.0
16872,1013.3,20181030,28.0-97.0,25.7,,,8.05,18.1,,,1882.3454034391532,0.0
16873,1014.9,20181030,30.0-95.0,24.7,,,,6.84,,,1882.3454034391532,0.0
16874,1015.5,20181030,30.0-94.0,23.7,,,,24.0362,,,1882.3454034391532,0.0
16875,1019.30339,20181030,30.0-88.0,24.08,,142.8,7.11,31.24,,,1882.3454034391532,0.0
16876,,20181030,29.0-92.0,23.6,,,,,,,1882.3454034391532,0.0
16877,,20181030,28.0-96.0,,,,,27.5434,,,1882.3454034391532,0.0
16878,1012.3,20181031,28.0-95.0,27.1,,,,,,,,0.0
16879,1014.1,20181031,29.0-94.0,25.1,,,,31.2661,,,,0.0
16880,1020.0,20181031,30.0-87.0,24.2,,,,,,,,0.0
16881,1017.1,20181031,30.0-91.0,21.7,,,,,,,,0.0
16882,1015.8,20181031,30.0-92.0,24.1,,,,,,,,0.0
16883,1014.0,20181031,30.0-93.0,24.6,,,,,,,,0.0
16884,1018.7,20181031,30.0-89.0,23.7,,,,,,,,0.0
16885,1018.3,20181031,29.0-89.0,23.6,,,,,,,,0.0
16886,1017.7,20181031,30.0-90.0,22.4,,,,,,,,0.0
16887,1016.3,20181031,29.0-91.0,23.3,,,,3.56,,,,0.0
16888,1011.5,20181031,29.0-96.0,24.2,,,,,,,,0.0
16889,1011.8,20181031,29.0-97.0,23.4,,,,,,,,0.0
16890,1015.6,20181031,30.0-88.0,25.6,,120.8,6.43,27.1,,,,0.0
16891,1007.67,20181031,27.0-96.0,27.6,,83.5,,36.39,,,,0.0
16892,1009.07,20181031,28.0-94.0,26.1,,75.0,,35.84,,,,0.0
16893,1012.0,20181031,29.0-90.0,25.9,15.74,71.4,7.46,27.13,,,,0.0
16894,1006.1,20181031,29.0-95.0,25.3,,87.2,,27.82,,,,0.0
16895,1006.4,20181031,28.0-97.0,26.3,,,8.5,30.2462,,,,0.0
16896,1006.7,20181031,30.0-95.0,24.8,,,,7.42,,,,0.0
16897,1007.2,20181031,30.0-94.0,24.5,,,,24.3418,,,,0.0
16898,,20181031,29.0-92.0,24.0,,,,,,404.807769775391,,0.0
16899,,20181031,29.0-92.0,24.0,,,,,,405.097930908203,,0.0
16900,,20181031,29.0-92.0,24.0,,,,,,404.950927734375,,0.0
16901,,20181031,29.0-92.0,24.0,,,,,,405.042083740234,,0.0
16902,,20181031,29.0-92.0,24.0,,,,,,404.222229003906,,0.0
16903,,20181031,29.0-92.0,24.0,,,,,,406.747894287109,,0.0
16904,,20181031,29.0-92.0,24.0,,,,,,404.226135253906,,0.0
16905,,20181031,29.0-92.0,24.0,,,,,,397.878387451172,,0.0
16906,,20181031,29.0-92.0,24.0,,,,,,404.942687988281,,0.0
16907,,20181031,29.0-92.0,24.0,,,,,,394.827606201172,,0.0
16908,,20181031,28.0-96.0,,,,,27.9838,,,,0.0
16909,1009.52,20181101,27.0-96.0,22.4,,77.7,,36.4,,,,0.0
16910,1012.69,20181101,28.0-94.0,19.2,,66.3,,35.91,,,,0.0
16911,1013.1,20181101,28.0-95.0,19.7,,,,,,,,0.0
16912,1013.3,20181101,29.0-94.0,18.9,,,,33.6683,,,,0.0
16913,1009.2,20181101,30.0-87.0,23.5,,,,,,,,0.0
16914,1009.0,20181101,30.0-89.0,21.1,,,,,,,,0.0
16915,1009.6,20181101,29.0-89.0,22.4,,,,,,,,0.0
16916,1010.3,20181101,30.0-90.0,19.9,,,,,,,,0.0
16917,1011.4,20181101,30.0-91.0,16.9,,,,,,,,0.0
16918,1010.7,20181101,29.0-91.0,17.7,,,,0.22,,,,0.0
16919,1011.9,20181101,30.0-92.0,16.5,,,,,,,,0.0
16920,1011.5,20181101,30.0-93.0,16.1,,,,,,,,0.0
16921,1013.4,20181101,29.0-96.0,17.2,,,,,,,,0.0
16922,1013.8,20181101,29.0-97.0,19.3,,,,,,,,0.0
16923,1013.0,20181101,29.0-95.0,18.0,,48.8,,26.84,,,,0.0
16924,1014.4,20181101,28.0-97.0,17.9,,,6.84,16.9,,,,0.0
16925,1013.8,20181101,28.0-96.0,19.3,,,,29.6757,,,,0.0
16926,1013.3,20181101,30.0-95.0,17.4,,,,5.51,,,,0.0
